Overriding config with config/finetune_231RNAs_0_18_6_300_rot_flash.py:
# finetune 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'resume' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# finetuning might cause some issues with the val loss. Either reset best_val_loss during training or just run a defined
# number of iterations.
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '231RNAs'
wandb_run_name = 'triples-finetune'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
pretrained = '231RNAs_triples_0_18_6_300_rot_flash'
basename = '231RNAs_Thermo_triples'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 48
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 2e-5 # with baby networks can afford to go a bit higher
max_iters = 1200000 # early 1277500 # 1269250 is stopping val in train_23S_triples_0_6_6_480.log
lr_decay_iters = 50000 # make equal to max_iters usually, but not always.
min_lr = 2e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Sun Mar  3 14:42:26 2024
grad_clip= 1.0
found vocab_size = 97 (inside /home/ubuntu/software/jamie_rna_llm/data/231RNAs_Thermo_triples_meta.pkl)
Resuming training from /home/ubuntu/software/jamie_rna_llm/out/231RNAs_triples_0_18_6_300_rot_flash.pt
number of parameters: 19.48M
compiling the model... (takes a ~minute)
step 977500: train loss 0.5587, val loss 0.8005
iter 977500: loss 0.5216, time 69666.52ms, mfu -100.00%
iter 977510: loss 0.6041, time 326.78ms, mfu 2.56%
iter 977520: loss 0.5453, time 327.53ms, mfu 2.56%
iter 977530: loss 0.7220, time 326.36ms, mfu 2.56%
iter 977540: loss 0.4971, time 326.79ms, mfu 2.56%
iter 977550: loss 0.4754, time 326.73ms, mfu 2.56%
iter 977560: loss 0.5221, time 328.56ms, mfu 2.56%
iter 977570: loss 0.4987, time 326.80ms, mfu 2.56%
iter 977580: loss 0.4677, time 327.30ms, mfu 2.56%
iter 977590: loss 0.5325, time 327.08ms, mfu 2.56%
iter 977600: loss 0.6290, time 327.19ms, mfu 2.56%
iter 977610: loss 0.5918, time 325.59ms, mfu 2.56%
iter 977620: loss 0.4676, time 325.97ms, mfu 2.56%
iter 977630: loss 0.7050, time 327.57ms, mfu 2.56%
iter 977640: loss 0.6479, time 325.21ms, mfu 2.56%
iter 977650: loss 0.6021, time 327.58ms, mfu 2.56%
iter 977660: loss 0.5832, time 326.33ms, mfu 2.56%
iter 977670: loss 0.4924, time 326.48ms, mfu 2.56%
iter 977680: loss 0.4596, time 326.14ms, mfu 2.56%
iter 977690: loss 0.6238, time 325.96ms, mfu 2.56%
iter 977700: loss 0.5581, time 327.16ms, mfu 2.56%
iter 977710: loss 0.4775, time 325.06ms, mfu 2.57%
iter 977720: loss 0.4244, time 326.76ms, mfu 2.56%
iter 977730: loss 0.5363, time 327.10ms, mfu 2.56%
iter 977740: loss 0.6207, time 327.55ms, mfu 2.56%
step 977750: train loss 0.4997, val loss 0.6511
iter 977750: loss 0.4745, time 50640.02ms, mfu 2.31%
iter 977760: loss 0.5010, time 324.91ms, mfu 2.34%
iter 977770: loss 0.4936, time 325.96ms, mfu 2.36%
iter 977780: loss 0.4136, time 324.86ms, mfu 2.38%
iter 977790: loss 0.7069, time 326.47ms, mfu 2.40%
iter 977800: loss 0.4771, time 325.09ms, mfu 2.42%
iter 977810: loss 0.4644, time 326.53ms, mfu 2.43%
iter 977820: loss 0.5108, time 324.88ms, mfu 2.45%
iter 977830: loss 0.4842, time 325.93ms, mfu 2.46%
iter 977840: loss 0.4867, time 327.28ms, mfu 2.47%
iter 977850: loss 0.5269, time 324.99ms, mfu 2.48%
iter 977860: loss 0.5704, time 327.71ms, mfu 2.49%
iter 977870: loss 0.5120, time 328.15ms, mfu 2.49%
iter 977880: loss 0.4824, time 327.11ms, mfu 2.50%
iter 977890: loss 0.6517, time 327.18ms, mfu 2.51%
iter 977900: loss 0.4819, time 327.58ms, mfu 2.51%
iter 977910: loss 0.5162, time 326.62ms, mfu 2.52%
iter 977920: loss 0.5393, time 327.13ms, mfu 2.52%
iter 977930: loss 0.4956, time 326.30ms, mfu 2.53%
iter 977940: loss 0.6465, time 326.72ms, mfu 2.53%
iter 977950: loss 0.4684, time 328.88ms, mfu 2.53%
iter 977960: loss 0.6917, time 327.46ms, mfu 2.53%
iter 977970: loss 0.5670, time 327.98ms, mfu 2.54%
iter 977980: loss 0.4835, time 326.05ms, mfu 2.54%
iter 977990: loss 0.4352, time 324.85ms, mfu 2.54%
step 978000: train loss 0.4681, val loss 0.6070
iter 978000: loss 0.4359, time 50705.31ms, mfu 2.29%
iter 978010: loss 0.4855, time 326.41ms, mfu 2.32%
iter 978020: loss 0.3924, time 327.15ms, mfu 2.34%
iter 978030: loss 0.4271, time 326.89ms, mfu 2.36%
iter 978040: loss 0.5711, time 326.89ms, mfu 2.38%
iter 978050: loss 0.5413, time 326.11ms, mfu 2.40%
iter 978060: loss 0.5680, time 328.72ms, mfu 2.42%
iter 978070: loss 0.5240, time 325.50ms, mfu 2.43%
iter 978080: loss 0.4745, time 326.39ms, mfu 2.45%
iter 978090: loss 0.3668, time 325.69ms, mfu 2.46%
iter 978100: loss 0.5053, time 325.73ms, mfu 2.47%
iter 978110: loss 0.6321, time 327.18ms, mfu 2.48%
iter 978120: loss 0.4856, time 325.83ms, mfu 2.49%
iter 978130: loss 0.6278, time 328.27ms, mfu 2.49%
iter 978140: loss 0.4308, time 326.97ms, mfu 2.50%
iter 978150: loss 0.4380, time 328.68ms, mfu 2.51%
iter 978160: loss 0.4159, time 326.97ms, mfu 2.51%
iter 978170: loss 0.4725, time 326.22ms, mfu 2.52%
iter 978180: loss 0.5426, time 327.62ms, mfu 2.52%
iter 978190: loss 0.5078, time 328.65ms, mfu 2.52%
iter 978200: loss 0.6316, time 326.21ms, mfu 2.53%
iter 978210: loss 0.6399, time 326.93ms, mfu 2.53%
iter 978220: loss 0.6300, time 326.15ms, mfu 2.53%
iter 978230: loss 0.6019, time 326.16ms, mfu 2.54%
