Overriding config with config/train_23S_pairs_0_18_6_300_abs2_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'pairs'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_pairs'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 5e-5 # with baby networks can afford to go a bit higher
max_iters = 1500000
lr_decay_iters =  50000 # make equal to max_iters usually, but not always.
min_lr = 5e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Thu Feb 22 22:07:33 2024
grad_clip= 1.0
found vocab_size = 25 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_pairs_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.46M
compiling the model... (takes a ~minute)
step 0: train loss 3.2349, val loss 3.2291
iter 0: loss 3.2474, time 29707.58ms, mfu -100.00%
iter 10: loss 2.7712, time 103.76ms, mfu 3.02%
iter 20: loss 2.2486, time 103.77ms, mfu 3.02%
iter 30: loss 1.8208, time 103.73ms, mfu 3.02%
iter 40: loss 1.6635, time 103.76ms, mfu 3.02%
iter 50: loss 1.7094, time 103.74ms, mfu 3.02%
iter 60: loss 1.7425, time 104.06ms, mfu 3.02%
iter 70: loss 1.8044, time 103.77ms, mfu 3.02%
iter 80: loss 1.5689, time 103.76ms, mfu 3.02%
iter 90: loss 1.5777, time 103.73ms, mfu 3.02%
iter 100: loss 1.5415, time 103.84ms, mfu 3.02%
iter 110: loss 1.5200, time 103.77ms, mfu 3.02%
iter 120: loss 1.4636, time 103.75ms, mfu 3.02%
iter 130: loss 1.3836, time 103.73ms, mfu 3.02%
iter 140: loss 1.4252, time 103.77ms, mfu 3.02%
iter 150: loss 1.3577, time 103.80ms, mfu 3.02%
iter 160: loss 1.3843, time 103.95ms, mfu 3.02%
iter 170: loss 1.3923, time 103.79ms, mfu 3.02%
iter 180: loss 1.2784, time 103.76ms, mfu 3.02%
iter 190: loss 1.3171, time 103.76ms, mfu 3.02%
iter 200: loss 1.2944, time 103.85ms, mfu 3.02%
iter 210: loss 1.2954, time 103.81ms, mfu 3.02%
iter 220: loss 1.3611, time 103.81ms, mfu 3.02%
iter 230: loss 1.3704, time 103.87ms, mfu 3.02%
iter 240: loss 1.4036, time 103.81ms, mfu 3.02%
step 250: train loss 1.3335, val loss 1.3439
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs2_flash.pt
iter 250: loss 1.3366, time 17909.27ms, mfu 2.72%
iter 260: loss 1.3989, time 103.82ms, mfu 2.75%
iter 270: loss 1.2842, time 103.74ms, mfu 2.78%
iter 280: loss 1.2942, time 104.09ms, mfu 2.80%
iter 290: loss 1.3525, time 103.81ms, mfu 2.82%
iter 300: loss 1.3938, time 103.79ms, mfu 2.84%
iter 310: loss 1.2907, time 103.80ms, mfu 2.86%
iter 320: loss 1.3413, time 103.83ms, mfu 2.88%
iter 330: loss 1.1337, time 103.75ms, mfu 2.89%
iter 340: loss 1.3460, time 104.07ms, mfu 2.91%
iter 350: loss 1.3269, time 103.83ms, mfu 2.92%
iter 360: loss 1.3378, time 103.84ms, mfu 2.93%
iter 370: loss 1.3268, time 103.80ms, mfu 2.94%
iter 380: loss 1.3114, time 103.86ms, mfu 2.95%
iter 390: loss 1.2012, time 103.82ms, mfu 2.95%
iter 400: loss 1.2013, time 103.88ms, mfu 2.96%
iter 410: loss 1.3797, time 103.75ms, mfu 2.97%
iter 420: loss 1.2572, time 103.86ms, mfu 2.97%
iter 430: loss 1.3774, time 103.85ms, mfu 2.98%
iter 440: loss 1.2683, time 103.88ms, mfu 2.98%
iter 450: loss 1.3157, time 103.82ms, mfu 2.99%
iter 460: loss 1.2639, time 103.82ms, mfu 2.99%
iter 470: loss 1.3043, time 103.89ms, mfu 2.99%
iter 480: loss 1.3837, time 103.91ms, mfu 2.99%
iter 490: loss 1.3403, time 103.95ms, mfu 3.00%
step 500: train loss 1.3142, val loss 1.3141
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs2_flash.pt
iter 500: loss 1.3802, time 18095.15ms, mfu 2.70%
iter 510: loss 1.3805, time 104.23ms, mfu 2.73%
iter 520: loss 1.3831, time 103.87ms, mfu 2.76%
iter 530: loss 1.3753, time 103.88ms, mfu 2.79%
iter 540: loss 1.3847, time 104.12ms, mfu 2.81%
iter 550: loss 1.3788, time 103.88ms, mfu 2.83%
iter 560: loss 1.3841, time 103.96ms, mfu 2.85%
iter 570: loss 1.3784, time 103.93ms, mfu 2.87%
iter 580: loss 1.3059, time 103.87ms, mfu 2.88%
iter 590: loss 1.2016, time 103.94ms, mfu 2.89%
iter 600: loss 1.3210, time 103.88ms, mfu 2.91%
iter 610: loss 1.2764, time 103.84ms, mfu 2.92%
