Overriding config with config/train_23S_pairs_0_18_6_300_abs_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'pairs'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_pairs'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 5e-5 # with baby networks can afford to go a bit higher
max_iters = 1500000
lr_decay_iters =  50000 # make equal to max_iters usually, but not always.
min_lr = 5e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Thu Feb 22 19:59:05 2024
grad_clip= 1.0
found vocab_size = 25 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_pairs_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.46M
compiling the model... (takes a ~minute)
step 0: train loss 3.1247, val loss 3.1229
iter 0: loss 3.1744, time 31242.03ms, mfu -100.00%
iter 10: loss 2.7431, time 107.05ms, mfu 2.93%
iter 20: loss 1.9532, time 106.87ms, mfu 2.93%
iter 30: loss 1.6694, time 106.99ms, mfu 2.93%
iter 40: loss 1.6949, time 106.86ms, mfu 2.93%
iter 50: loss 1.5803, time 107.12ms, mfu 2.93%
iter 60: loss 1.6392, time 106.90ms, mfu 2.93%
iter 70: loss 1.5888, time 106.72ms, mfu 2.93%
iter 80: loss 1.5171, time 106.71ms, mfu 2.93%
iter 90: loss 1.6326, time 106.74ms, mfu 2.93%
iter 100: loss 1.5812, time 106.58ms, mfu 2.94%
iter 110: loss 1.5958, time 107.00ms, mfu 2.94%
iter 120: loss 1.4905, time 107.00ms, mfu 2.93%
iter 130: loss 1.4403, time 106.99ms, mfu 2.93%
iter 140: loss 1.4517, time 107.04ms, mfu 2.93%
iter 150: loss 1.3855, time 107.10ms, mfu 2.93%
iter 160: loss 1.4335, time 107.04ms, mfu 2.93%
iter 170: loss 1.4269, time 106.86ms, mfu 2.93%
iter 180: loss 1.3587, time 107.04ms, mfu 2.93%
iter 190: loss 1.4194, time 107.14ms, mfu 2.93%
iter 200: loss 1.3078, time 106.99ms, mfu 2.93%
iter 210: loss 1.3610, time 106.77ms, mfu 2.93%
iter 220: loss 1.3104, time 106.79ms, mfu 2.93%
iter 230: loss 1.2783, time 106.85ms, mfu 2.93%
iter 240: loss 1.2813, time 106.87ms, mfu 2.93%
step 250: train loss 1.3365, val loss 1.3384
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs_flash.pt
iter 250: loss 1.2812, time 18459.45ms, mfu 2.64%
iter 260: loss 1.2096, time 107.09ms, mfu 2.67%
iter 270: loss 1.3516, time 107.07ms, mfu 2.70%
iter 280: loss 1.3310, time 106.56ms, mfu 2.72%
iter 290: loss 1.3448, time 106.98ms, mfu 2.74%
iter 300: loss 1.2008, time 106.97ms, mfu 2.76%
iter 310: loss 1.3444, time 106.93ms, mfu 2.78%
iter 320: loss 1.3230, time 106.99ms, mfu 2.79%
iter 330: loss 1.3854, time 107.77ms, mfu 2.81%
iter 340: loss 1.3452, time 107.07ms, mfu 2.82%
iter 350: loss 1.3399, time 106.90ms, mfu 2.83%
iter 360: loss 1.2299, time 106.83ms, mfu 2.84%
iter 370: loss 1.3169, time 106.75ms, mfu 2.85%
iter 380: loss 1.3860, time 106.86ms, mfu 2.86%
iter 390: loss 1.3827, time 107.82ms, mfu 2.86%
iter 400: loss 1.3026, time 107.02ms, mfu 2.87%
iter 410: loss 1.2728, time 106.93ms, mfu 2.88%
iter 420: loss 1.2206, time 106.81ms, mfu 2.88%
iter 430: loss 1.2444, time 106.71ms, mfu 2.89%
iter 440: loss 1.1470, time 106.58ms, mfu 2.89%
iter 450: loss 1.3176, time 106.89ms, mfu 2.90%
iter 460: loss 1.1874, time 106.73ms, mfu 2.90%
iter 470: loss 1.3469, time 106.85ms, mfu 2.91%
iter 480: loss 1.2697, time 106.93ms, mfu 2.91%
iter 490: loss 1.3842, time 106.87ms, mfu 2.91%
step 500: train loss 1.3113, val loss 1.3194
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs_flash.pt
iter 500: loss 1.2863, time 18447.57ms, mfu 2.62%
iter 510: loss 1.2751, time 106.96ms, mfu 2.65%
iter 520: loss 1.3755, time 106.85ms, mfu 2.68%
iter 530: loss 1.3175, time 106.97ms, mfu 2.71%
iter 540: loss 1.3779, time 107.11ms, mfu 2.73%
iter 550: loss 1.3793, time 106.72ms, mfu 2.75%
iter 560: loss 1.2467, time 106.70ms, mfu 2.77%
iter 570: loss 1.0977, time 106.78ms, mfu 2.79%
iter 580: loss 1.3374, time 106.90ms, mfu 2.80%
iter 590: loss 1.2294, time 106.98ms, mfu 2.81%
iter 600: loss 1.2538, time 107.03ms, mfu 2.83%
iter 610: loss 1.1684, time 106.80ms, mfu 2.84%
iter 620: loss 1.3250, time 106.86ms, mfu 2.85%
iter 630: loss 1.3184, time 106.77ms, mfu 2.86%
iter 640: loss 1.3745, time 107.04ms, mfu 2.86%
iter 650: loss 1.2666, time 106.93ms, mfu 2.87%
iter 660: loss 1.3752, time 107.07ms, mfu 2.88%
iter 670: loss 1.3388, time 106.98ms, mfu 2.88%
iter 680: loss 1.2715, time 107.06ms, mfu 2.89%
iter 690: loss 1.3158, time 106.65ms, mfu 2.89%
iter 700: loss 1.2507, time 106.80ms, mfu 2.90%
iter 710: loss 1.2370, time 106.74ms, mfu 2.90%
iter 720: loss 1.1966, time 107.30ms, mfu 2.90%
iter 730: loss 1.3078, time 106.82ms, mfu 2.91%
iter 740: loss 1.3293, time 106.83ms, mfu 2.91%
step 750: train loss 1.3145, val loss 1.3083
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs_flash.pt
iter 750: loss 1.3767, time 18544.91ms, mfu 2.62%
iter 760: loss 1.2435, time 106.92ms, mfu 2.65%
iter 770: loss 1.3764, time 106.81ms, mfu 2.68%
iter 780: loss 1.2695, time 106.82ms, mfu 2.71%
iter 790: loss 1.3702, time 106.96ms, mfu 2.73%
iter 800: loss 1.1862, time 106.98ms, mfu 2.75%
iter 810: loss 1.3672, time 106.96ms, mfu 2.77%
iter 820: loss 1.2355, time 106.72ms, mfu 2.79%
iter 830: loss 1.3722, time 106.70ms, mfu 2.80%
iter 840: loss 1.3753, time 107.13ms, mfu 2.81%
iter 850: loss 1.3039, time 106.94ms, mfu 2.83%
iter 860: loss 1.3708, time 106.92ms, mfu 2.84%
iter 870: loss 1.2477, time 107.05ms, mfu 2.85%
iter 880: loss 1.3059, time 106.98ms, mfu 2.85%
iter 890: loss 1.2290, time 107.06ms, mfu 2.86%
iter 900: loss 1.3792, time 106.90ms, mfu 2.87%
iter 910: loss 1.3730, time 107.17ms, mfu 2.88%
iter 920: loss 1.1645, time 106.98ms, mfu 2.88%
iter 930: loss 1.5237, time 106.90ms, mfu 2.89%
iter 940: loss 1.2715, time 107.06ms, mfu 2.89%
iter 950: loss 1.2803, time 106.95ms, mfu 2.90%
iter 960: loss 1.3755, time 106.89ms, mfu 2.90%
iter 970: loss 1.3710, time 106.77ms, mfu 2.90%
iter 980: loss 1.3243, time 106.74ms, mfu 2.91%
iter 990: loss 1.1375, time 106.75ms, mfu 2.91%
step 1000: train loss 1.3071, val loss 1.3118
iter 1000: loss 1.3751, time 17305.73ms, mfu 2.62%
iter 1010: loss 1.2704, time 107.16ms, mfu 2.65%
iter 1020: loss 1.3040, time 106.90ms, mfu 2.68%
iter 1030: loss 1.1220, time 107.23ms, mfu 2.70%
iter 1040: loss 1.3762, time 106.95ms, mfu 2.73%
iter 1050: loss 1.3710, time 107.04ms, mfu 2.75%
iter 1060: loss 1.3655, time 107.19ms, mfu 2.77%
iter 1070: loss 1.3629, time 107.20ms, mfu 2.78%
iter 1080: loss 1.3097, time 107.16ms, mfu 2.80%
iter 1090: loss 1.2514, time 107.16ms, mfu 2.81%
iter 1100: loss 1.2402, time 107.01ms, mfu 2.82%
iter 1110: loss 1.2415, time 107.08ms, mfu 2.83%
iter 1120: loss 1.3694, time 106.93ms, mfu 2.84%
iter 1130: loss 1.3095, time 107.08ms, mfu 2.85%
iter 1140: loss 1.3182, time 107.00ms, mfu 2.86%
iter 1150: loss 1.2620, time 106.95ms, mfu 2.87%
iter 1160: loss 1.3100, time 107.13ms, mfu 2.87%
iter 1170: loss 1.3686, time 107.23ms, mfu 2.88%
iter 1180: loss 1.3733, time 107.27ms, mfu 2.88%
iter 1190: loss 1.1664, time 107.19ms, mfu 2.89%
iter 1200: loss 1.3206, time 107.15ms, mfu 2.89%
iter 1210: loss 1.3718, time 106.86ms, mfu 2.90%
iter 1220: loss 1.3714, time 107.17ms, mfu 2.90%
iter 1230: loss 1.1965, time 107.16ms, mfu 2.90%
iter 1240: loss 0.9248, time 107.00ms, mfu 2.91%
step 1250: train loss 1.3029, val loss 1.3105
iter 1250: loss 1.3189, time 17380.88ms, mfu 2.62%
iter 1260: loss 1.3018, time 107.12ms, mfu 2.65%
iter 1270: loss 1.5705, time 107.15ms, mfu 2.68%
iter 1280: loss 1.1778, time 107.00ms, mfu 2.70%
iter 1290: loss 1.2316, time 107.10ms, mfu 2.72%
iter 1300: loss 1.3193, time 106.96ms, mfu 2.75%
iter 1310: loss 1.2741, time 106.64ms, mfu 2.76%
iter 1320: loss 1.2814, time 106.80ms, mfu 2.78%
iter 1330: loss 1.2972, time 107.06ms, mfu 2.80%
iter 1340: loss 1.3751, time 107.28ms, mfu 2.81%
iter 1350: loss 1.2414, time 106.99ms, mfu 2.82%
iter 1360: loss 1.2541, time 107.25ms, mfu 2.83%
iter 1370: loss 1.2524, time 107.15ms, mfu 2.84%
iter 1380: loss 1.3657, time 107.21ms, mfu 2.85%
iter 1390: loss 1.3259, time 107.14ms, mfu 2.86%
iter 1400: loss 1.5285, time 107.39ms, mfu 2.86%
iter 1410: loss 1.3228, time 107.18ms, mfu 2.87%
iter 1420: loss 1.2810, time 107.18ms, mfu 2.88%
iter 1430: loss 1.3005, time 107.18ms, mfu 2.88%
iter 1440: loss 1.3140, time 107.18ms, mfu 2.89%
iter 1450: loss 1.2803, time 107.20ms, mfu 2.89%
iter 1460: loss 1.3683, time 107.23ms, mfu 2.89%
iter 1470: loss 1.3760, time 107.21ms, mfu 2.90%
iter 1480: loss 1.3293, time 107.18ms, mfu 2.90%
iter 1490: loss 1.1303, time 107.12ms, mfu 2.90%
step 1500: train loss 1.3003, val loss 1.3072
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs_flash.pt
iter 1500: loss 1.2023, time 18765.65ms, mfu 2.61%
iter 1510: loss 1.2613, time 107.25ms, mfu 2.65%
iter 1520: loss 1.2483, time 106.76ms, mfu 2.67%
iter 1530: loss 1.2459, time 107.22ms, mfu 2.70%
iter 1540: loss 1.2421, time 107.01ms, mfu 2.72%
iter 1550: loss 1.3162, time 107.06ms, mfu 2.74%
iter 1560: loss 1.3707, time 107.31ms, mfu 2.76%
iter 1570: loss 1.2471, time 107.08ms, mfu 2.78%
iter 1580: loss 1.2413, time 106.98ms, mfu 2.79%
iter 1590: loss 1.2934, time 107.34ms, mfu 2.81%
iter 1600: loss 1.3030, time 107.38ms, mfu 2.82%
iter 1610: loss 1.2067, time 107.39ms, mfu 2.83%
iter 1620: loss 1.3680, time 107.18ms, mfu 2.84%
iter 1630: loss 1.1835, time 107.18ms, mfu 2.85%
iter 1640: loss 1.2723, time 107.24ms, mfu 2.86%
iter 1650: loss 1.3078, time 107.17ms, mfu 2.86%
iter 1660: loss 1.3661, time 107.35ms, mfu 2.87%
iter 1670: loss 1.3278, time 107.45ms, mfu 2.87%
iter 1680: loss 1.2481, time 107.35ms, mfu 2.88%
iter 1690: loss 1.2907, time 107.32ms, mfu 2.88%
iter 1700: loss 1.3127, time 106.87ms, mfu 2.89%
iter 1710: loss 1.3160, time 107.11ms, mfu 2.89%
iter 1720: loss 1.3066, time 107.30ms, mfu 2.90%
iter 1730: loss 1.5276, time 107.45ms, mfu 2.90%
iter 1740: loss 1.3660, time 107.12ms, mfu 2.90%
step 1750: train loss 1.2928, val loss 1.2996
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_abs_flash.pt
iter 1750: loss 1.1882, time 19574.63ms, mfu 2.61%
iter 1760: loss 1.3225, time 107.29ms, mfu 2.64%
iter 1770: loss 1.2991, time 107.44ms, mfu 2.67%
iter 1780: loss 1.3299, time 107.39ms, mfu 2.70%
iter 1790: loss 1.2993, time 107.51ms, mfu 2.72%
iter 1800: loss 1.3243, time 107.46ms, mfu 2.74%
iter 1810: loss 1.3066, time 107.41ms, mfu 2.76%
