Overriding config with config/train_23S_pairs_0_18_6_300_rot2_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'pairs'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_pairs'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 3e-5 # with baby networks can afford to go a bit higher
max_iters = 1500000
lr_decay_iters = 50000 # make equal to max_iters usually, but not always.
min_lr = 3e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Thu Feb 22 23:23:04 2024
grad_clip= 1.0
found vocab_size = 25 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_pairs_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.46M
compiling the model... (takes a ~minute)
step 0: train loss 3.3300, val loss 3.3285
iter 0: loss 3.2869, time 31460.61ms, mfu -100.00%
iter 10: loss 2.9950, time 117.18ms, mfu 2.68%
iter 20: loss 2.5407, time 116.32ms, mfu 2.68%
iter 30: loss 2.0311, time 116.89ms, mfu 2.68%
iter 40: loss 1.8521, time 116.77ms, mfu 2.68%
iter 50: loss 1.8138, time 116.11ms, mfu 2.68%
iter 60: loss 1.7426, time 116.78ms, mfu 2.68%
iter 70: loss 1.6381, time 116.39ms, mfu 2.68%
iter 80: loss 1.5443, time 116.65ms, mfu 2.69%
iter 90: loss 1.5504, time 117.08ms, mfu 2.68%
iter 100: loss 1.5314, time 116.91ms, mfu 2.68%
iter 110: loss 1.5641, time 116.77ms, mfu 2.68%
iter 120: loss 1.5536, time 115.95ms, mfu 2.69%
iter 130: loss 1.4957, time 116.34ms, mfu 2.69%
iter 140: loss 1.4487, time 115.82ms, mfu 2.69%
iter 150: loss 1.4818, time 117.12ms, mfu 2.69%
iter 160: loss 1.4725, time 116.06ms, mfu 2.69%
iter 170: loss 1.3967, time 116.98ms, mfu 2.69%
iter 180: loss 1.5219, time 117.21ms, mfu 2.69%
iter 190: loss 1.4029, time 116.09ms, mfu 2.69%
iter 200: loss 1.4225, time 117.18ms, mfu 2.69%
iter 210: loss 1.3915, time 117.10ms, mfu 2.69%
iter 220: loss 1.4347, time 115.89ms, mfu 2.69%
iter 230: loss 1.3511, time 116.34ms, mfu 2.69%
iter 240: loss 1.1947, time 116.87ms, mfu 2.69%
step 250: train loss 1.3754, val loss 1.3898
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_pairs_0_18_6_300_rot2_flash.pt
iter 250: loss 1.4318, time 19154.85ms, mfu 2.42%
iter 260: loss 1.3155, time 117.09ms, mfu 2.45%
iter 270: loss 1.2624, time 116.31ms, mfu 2.47%
iter 280: loss 1.3004, time 116.07ms, mfu 2.50%
iter 290: loss 1.3063, time 115.61ms, mfu 2.52%
iter 300: loss 1.3429, time 116.97ms, mfu 2.53%
iter 310: loss 1.2250, time 115.62ms, mfu 2.55%
iter 320: loss 1.4132, time 116.86ms, mfu 2.57%
iter 330: loss 1.3620, time 116.89ms, mfu 2.58%
iter 340: loss 1.3553, time 117.14ms, mfu 2.59%
iter 350: loss 1.3535, time 115.72ms, mfu 2.60%
iter 360: loss 1.3467, time 115.74ms, mfu 2.61%
iter 370: loss 1.3367, time 115.95ms, mfu 2.62%
iter 380: loss 1.2763, time 117.03ms, mfu 2.63%
