Overriding config with config/train_23S_single_0_18_6_300_abs2_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'single'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_single'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 5e-5 # with baby networks can afford to go a bit higher
max_iters = 100000
lr_decay_iters = 100000 # make equal to max_iters usually, but not always.
min_lr = 5e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Tue Feb 27 16:31:57 2024
grad_clip= 1.0
found vocab_size = 7 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_single_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.45M
compiling the model... (takes a ~minute)
step 0: train loss 1.9244, val loss 1.9201
iter 0: loss 1.9048, time 30875.60ms, mfu -100.00%
iter 10: loss 1.4909, time 104.77ms, mfu 2.99%
iter 20: loss 1.3834, time 104.96ms, mfu 2.99%
iter 30: loss 1.3688, time 104.39ms, mfu 2.99%
iter 40: loss 1.3782, time 104.22ms, mfu 3.00%
iter 50: loss 1.3628, time 104.02ms, mfu 3.00%
iter 60: loss 1.3769, time 104.68ms, mfu 3.00%
iter 70: loss 1.3632, time 104.33ms, mfu 3.00%
iter 80: loss 1.3759, time 105.11ms, mfu 3.00%
iter 90: loss 1.3814, time 104.75ms, mfu 3.00%
iter 100: loss 1.3850, time 104.31ms, mfu 3.00%
iter 110: loss 1.3676, time 104.00ms, mfu 3.00%
iter 120: loss 1.3692, time 104.31ms, mfu 3.00%
iter 130: loss 1.3504, time 104.39ms, mfu 3.00%
iter 140: loss 1.3668, time 104.55ms, mfu 3.00%
iter 150: loss 1.3793, time 104.25ms, mfu 3.00%
iter 160: loss 1.3794, time 104.94ms, mfu 3.00%
iter 170: loss 1.3667, time 104.49ms, mfu 3.00%
iter 180: loss 1.3410, time 105.17ms, mfu 3.00%
iter 190: loss 1.3514, time 105.06ms, mfu 3.00%
iter 200: loss 1.3843, time 105.10ms, mfu 3.00%
iter 210: loss 1.3772, time 104.87ms, mfu 3.00%
iter 220: loss 1.2285, time 104.69ms, mfu 3.00%
iter 230: loss 1.3341, time 104.92ms, mfu 3.00%
iter 240: loss 1.3817, time 104.29ms, mfu 3.00%
step 250: train loss 1.2976, val loss 1.3191
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_single_0_18_6_300_abs2_flash.pt
iter 250: loss 1.2432, time 17899.90ms, mfu 2.70%
iter 260: loss 1.3767, time 104.11ms, mfu 2.73%
iter 270: loss 1.3706, time 104.51ms, mfu 2.76%
iter 280: loss 1.3809, time 105.24ms, mfu 2.78%
iter 290: loss 1.3298, time 104.32ms, mfu 2.80%
iter 300: loss 1.3741, time 104.22ms, mfu 2.82%
iter 310: loss 1.3732, time 103.98ms, mfu 2.84%
iter 320: loss 1.2621, time 105.23ms, mfu 2.86%
iter 330: loss 1.3066, time 104.92ms, mfu 2.87%
iter 340: loss 1.2901, time 105.09ms, mfu 2.88%
iter 350: loss 1.2473, time 104.21ms, mfu 2.89%
iter 360: loss 1.3739, time 103.87ms, mfu 2.91%
iter 370: loss 1.2669, time 104.29ms, mfu 2.92%
iter 380: loss 1.2739, time 105.09ms, mfu 2.92%
iter 390: loss 1.3733, time 104.60ms, mfu 2.93%
iter 400: loss 1.3290, time 105.09ms, mfu 2.94%
iter 410: loss 1.3751, time 105.06ms, mfu 2.94%
iter 420: loss 1.3752, time 105.11ms, mfu 2.95%
iter 430: loss 1.2762, time 104.29ms, mfu 2.95%
iter 440: loss 1.3741, time 104.47ms, mfu 2.96%
iter 450: loss 1.2497, time 104.34ms, mfu 2.96%
iter 460: loss 1.3705, time 104.51ms, mfu 2.97%
iter 470: loss 1.1915, time 104.27ms, mfu 2.97%
iter 480: loss 1.2437, time 103.80ms, mfu 2.98%
iter 490: loss 1.3158, time 104.38ms, mfu 2.98%
step 500: train loss 1.3023, val loss 1.3130
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/23S_single_0_18_6_300_abs2_flash.pt
iter 500: loss 1.3718, time 18283.05ms, mfu 2.68%
iter 510: loss 1.3149, time 105.21ms, mfu 2.71%
iter 520: loss 1.3343, time 105.17ms, mfu 2.74%
iter 530: loss 1.1910, time 105.24ms, mfu 2.76%
iter 540: loss 1.3165, time 105.26ms, mfu 2.79%
iter 550: loss 1.2704, time 105.29ms, mfu 2.80%
iter 560: loss 1.3060, time 105.10ms, mfu 2.82%
iter 570: loss 1.3692, time 105.29ms, mfu 2.84%
iter 580: loss 1.2171, time 105.34ms, mfu 2.85%
iter 590: loss 1.3102, time 105.35ms, mfu 2.86%
iter 600: loss 1.2541, time 105.23ms, mfu 2.88%
iter 610: loss 1.2643, time 105.19ms, mfu 2.89%
iter 620: loss 1.3274, time 105.26ms, mfu 2.90%
iter 630: loss 1.3721, time 105.29ms, mfu 2.90%
iter 640: loss 1.3743, time 105.41ms, mfu 2.91%
iter 650: loss 1.3109, time 105.10ms, mfu 2.92%
iter 660: loss 1.1596, time 105.37ms, mfu 2.92%
iter 670: loss 1.3721, time 105.24ms, mfu 2.93%
iter 680: loss 1.3775, time 104.82ms, mfu 2.94%
iter 690: loss 1.3152, time 103.87ms, mfu 2.95%
iter 700: loss 1.3026, time 105.20ms, mfu 2.95%
iter 710: loss 1.3772, time 104.48ms, mfu 2.95%
iter 720: loss 1.3253, time 104.35ms, mfu 2.96%
iter 730: loss 1.3748, time 104.04ms, mfu 2.96%
iter 740: loss 1.2769, time 105.23ms, mfu 2.97%
step 750: train loss 1.3026, val loss 1.3168
iter 750: loss 1.3322, time 16783.59ms, mfu 2.67%
iter 760: loss 1.3275, time 105.08ms, mfu 2.70%
iter 770: loss 1.3118, time 103.97ms, mfu 2.73%
iter 780: loss 1.3091, time 104.10ms, mfu 2.76%
iter 790: loss 1.1967, time 104.59ms, mfu 2.79%
iter 800: loss 1.2032, time 104.15ms, mfu 2.81%
iter 810: loss 1.3744, time 104.86ms, mfu 2.83%
iter 820: loss 1.2601, time 104.02ms, mfu 2.85%
iter 830: loss 1.3740, time 104.35ms, mfu 2.86%
iter 840: loss 1.2681, time 105.33ms, mfu 2.87%
iter 850: loss 1.3214, time 104.15ms, mfu 2.89%
iter 860: loss 1.3191, time 103.94ms, mfu 2.90%
iter 870: loss 1.2400, time 104.04ms, mfu 2.91%
iter 880: loss 1.3839, time 104.05ms, mfu 2.92%
iter 890: loss 1.3819, time 104.12ms, mfu 2.93%
iter 900: loss 1.3825, time 104.31ms, mfu 2.94%
iter 910: loss 1.3098, time 104.59ms, mfu 2.94%
iter 920: loss 1.3822, time 104.22ms, mfu 2.95%
iter 930: loss 1.3793, time 104.47ms, mfu 2.96%
iter 940: loss 1.3127, time 104.30ms, mfu 2.96%
iter 950: loss 1.2012, time 103.86ms, mfu 2.97%
iter 960: loss 1.3356, time 103.99ms, mfu 2.97%
iter 970: loss 1.3185, time 104.04ms, mfu 2.98%
iter 980: loss 1.2588, time 103.94ms, mfu 2.98%
iter 990: loss 1.3203, time 104.32ms, mfu 2.98%
step 1000: train loss 1.3040, val loss 1.3215
iter 1000: loss 1.3377, time 16790.47ms, mfu 2.69%
iter 1010: loss 1.2717, time 104.01ms, mfu 2.72%
iter 1020: loss 1.2606, time 104.61ms, mfu 2.75%
iter 1030: loss 1.3744, time 104.11ms, mfu 2.77%
iter 1040: loss 1.3263, time 104.25ms, mfu 2.80%
iter 1050: loss 1.3782, time 103.93ms, mfu 2.82%
iter 1060: loss 1.3810, time 104.58ms, mfu 2.84%
iter 1070: loss 1.3125, time 104.12ms, mfu 2.86%
iter 1080: loss 1.2641, time 104.00ms, mfu 2.87%
iter 1090: loss 1.3819, time 104.25ms, mfu 2.89%
iter 1100: loss 1.2429, time 104.22ms, mfu 2.90%
iter 1110: loss 1.2469, time 103.89ms, mfu 2.91%
iter 1120: loss 1.3290, time 104.55ms, mfu 2.92%
iter 1130: loss 1.3058, time 104.63ms, mfu 2.93%
iter 1140: loss 1.1233, time 104.32ms, mfu 2.93%
iter 1150: loss 1.3804, time 104.67ms, mfu 2.94%
iter 1160: loss 1.1394, time 103.93ms, mfu 2.95%
iter 1170: loss 1.2705, time 103.95ms, mfu 2.96%
iter 1180: loss 1.3762, time 103.87ms, mfu 2.96%
iter 1190: loss 1.2767, time 103.89ms, mfu 2.97%
iter 1200: loss 1.3080, time 103.97ms, mfu 2.97%
iter 1210: loss 1.3796, time 103.88ms, mfu 2.98%
iter 1220: loss 1.3237, time 104.98ms, mfu 2.98%
iter 1230: loss 1.3726, time 104.05ms, mfu 2.98%
iter 1240: loss 1.3792, time 105.25ms, mfu 2.98%
step 1250: train loss 1.3050, val loss 1.3183
iter 1250: loss 1.3374, time 16788.90ms, mfu 2.69%
iter 1260: loss 1.2676, time 103.88ms, mfu 2.72%
iter 1270: loss 1.2287, time 104.40ms, mfu 2.75%
iter 1280: loss 1.3801, time 103.81ms, mfu 2.78%
iter 1290: loss 1.2854, time 103.87ms, mfu 2.80%
iter 1300: loss 1.3101, time 103.94ms, mfu 2.82%
iter 1310: loss 1.4906, time 103.88ms, mfu 2.84%
iter 1320: loss 1.3745, time 103.84ms, mfu 2.86%
iter 1330: loss 1.3778, time 103.85ms, mfu 2.88%
iter 1340: loss 1.3789, time 103.75ms, mfu 2.89%
iter 1350: loss 1.3382, time 103.98ms, mfu 2.90%
iter 1360: loss 1.2581, time 104.41ms, mfu 2.91%
iter 1370: loss 1.2023, time 104.42ms, mfu 2.92%
iter 1380: loss 1.3189, time 104.80ms, mfu 2.93%
iter 1390: loss 1.3151, time 104.72ms, mfu 2.94%
iter 1400: loss 1.3749, time 105.24ms, mfu 2.94%
iter 1410: loss 1.2576, time 104.66ms, mfu 2.95%
